Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
Long Live Freedom,Drama,it,BiBi Film,Italy,2013,$5000000,$48125.0
Snakes on a Plane,Action-Crime-Horror-Thriller,en,New Line Cinema,United States of America,2006,$33000000,$62022014.0
Beowulf,Adventure-Action-Animation,en,Paramount Pictures,United States of America,2007,$70000000,$195735876.0
Who Framed Roger Rabbit,Fantasy-Animation-Comedy-Crime-Family,en,Amblin Entertainment,United States of America,1988,$70000000,$329803958.0
Quills,Drama,en,Fox Searchlight Pictures,Germany,2000,$13500000,$7060876.0
Elmer Gantry,Drama,en,United Artists,United States of America,1960,$3000000,$10400000.0
The Lair of the White Worm,Comedy-Horror,en,White Lair,United Kingdom,1988,$2500000,$1189315.0
Muppets from Space,Fantasy-Comedy-Science Fiction-Family,en,Columbia Pictures,United States of America,1999,$24000000,$16290976.0
Street Hero,Drama,en,Film Victoria,Australia,1984,$2500000,$700000.0
Popular Music,Comedy-Drama,sv,Happy End Filmproductions AB,Finland,2004,$2224000,$28000000.0
Jawani Phir Nahi Ani,Romance-Adventure-Comedy,ur,Six Sigma Entertainment,Pakistan,2015,$20000000,$77000000.0
Frenzy,Crime-Drama-Mystery-Thriller,en,Universal Pictures,United Kingdom,1972,$3500000,$12600000.0
Caligula,Drama-History-Romance,en,Penthouse Films International,Italy,1979,$17500000,$23438120.0
The Hangover,Comedy,en,Legendary Pictures,Germany,2009,$35000000,$459270619.0
Colgado de la luna,Horror-Thriller,es,none,,2005,$85000,$4236.0
The Aviator,Drama,en,Appian Way,United States of America,2004,$116000000,$102000000.0
I'm No Angel,Comedy-Romance,en,Paramount Pictures,United States of America,1933,$225000,$2850000.0
Raise Your Voice,Music-Drama-Romance,en,New Line Cinema,United States of America,2004,$15000000,$14867514.0
I Love Trouble,Action-Comedy-Romance,en,Caravan Pictures,United States of America,1994,$45000000,$61947267.0
Phantasm,Horror-Science Fiction,en,New Breed Productions,United States of America,1979,$300000,$11988469.0
Intolerable Cruelty,Crime-Comedy-Romance,en,Imagine Entertainment,United States of America,2003,$60000000,$119940815.0
Kaminey,Action-Crime-Drama,hi,none,India,2009,$9000000,$18130000.0
Four Brothers,Action-Crime,en,Paramount Pictures,United States of America,2005,$45000000,$92374674.0
ATM,Horror-Thriller,en,Buffalo Gal Pictures,Canada,2012,$3000000,$3010.0
For Richer or Poorer,Comedy,en,Universal Pictures,United States of America,1997,$35000000,$31611225.0
Bleed for This,Drama,en,Younger Than You,United States of America,2016,$6000000,$6174491.0
What Women Want,Comedy-Romance,en,Paramount Pictures,United States of America,2000,$70000000,$374111707.0
Whatever Works,Comedy-Romance,en,Sony Pictures Classics,France,2009,$15000000,$35097815.0
Soggade Chinni Nayana,Drama-Family-Fantasy,te,Annapurna Studios,India,2016,$3000000,$10000000.0
Romanzo criminale,Drama,en,Warner Bros.,France,2005,$818418,$4851244.0
Dream Well,Comedy,en,none,Hungary,2009,$3500000,$9800000.0
Jacob's Ladder,Drama-Mystery-Horror,en,TriStar Pictures,United States of America,1990,$25000000,$25965144.0
Barbecue,Comedy,fr,TF1 Films Production,France,2014,$6000000,$14348529.0
Nine 1-2 Weeks,Drama-Romance,en,Metro-Goldwyn-Mayer (MGM),United States of America,1986,$17000000,$6735922.0
Two Rabbits,Action-Crime-Drama,pt,Telecine,Brazil,2012,$2000000,$1620436.0
Aloha Bobby and Rose,Drama-Romance,en,Columbia Pictures,United States of America,1975,$60000,$35000000.0
Guess Who,Comedy-Romance,en,Columbia Pictures,United States of America,2005,$35000000,$68915888.0
Maggie,Horror,en,Lionsgate,Switzerland,2015,$4000000,$187112.0
The Order,Drama-Fantasy-Horror-Mystery-Romance-Thriller,en,Twentieth Century Fox Film Corporation,Germany,2003,$35000000,$11560806.0
Friday the 13th,Horror,en,New Line Cinema,United States of America,2009,$19000000,$91379051.0
Romantic Blue,Drama,th,R.S. Film,Thailand,1995,$40000,$220000.0
Dolphin Tale,Drama-Family,en,Alcon Entertainment,United States of America,2011,$37000000,$95404397.0
Random Hearts,Drama-Romance,en,Columbia Pictures,United States of America,1999,$64000000,$74608570.0
Cape Fear,Crime-Thriller,en,Universal Pictures,United States of America,1991,$35000000,$182300000.0
Pokkiri Raja,Action,ml,none,India,2010,$1260000,$4700000.0
Edge of the Empire,Action-History,th,Kantana Laboratories Co.,Thailand,2010,$4000000,$100000.0
The Artist,Drama-Comedy-Romance,en,France 3 Cinema,Belgium,2011,$15000000,$133432856.0
Love Valour Compassion,Drama,de,Fine Line Features,United States of America,1997,$2000000,$2900000.0
Chronicle,Science Fiction-Drama-Thriller,en,Twentieth Century Fox Film Corporation,United States of America,2012,$15000000,$145000000.0
Sing Street,Romance-Drama-Music,en,Cosmo-Films,Ireland,2016,$4000000,$13624522.0
John Q,Drama-Thriller-Crime,en,New Line Cinema,United States of America,2002,$36000000,$102244770.0
Mrs. Winterbourne,Comedy-Romance-Drama,en,TriStar Pictures,United States of America,1996,$25000000,$10070000.0
Rough Cut,Adventure-Comedy-Crime-Mystery-Romance,en,Paramount Pictures,United States of America,1980,$14000000,$16656125.0
The Ides of March,Drama,en,Appian Way,United States of America,2011,$12500000,$75993061.0
The Card Player,Horror-Mystery-Thriller,it,Medusa Film,Italy,2004,$2600000,$1479042.0
The Way Way Back,Comedy-Drama,en,Fox Searchlight Pictures,United States of America,2013,$4600000,$23198652.0
Nim's Island,Adventure-Comedy-Family-Fantasy,en,Walden Media,United States of America,2008,$37000000,$100076342.0
Escape from New York,Science Fiction-Action,en,AVCO Embassy Pictures,United States of America,1981,$6000000,$50244700.0
It Happened One Night,Comedy-Romance,en,Columbia Pictures Corporation,United States of America,1934,$325000,$4500000.0
Highlander,Adventure-Action-Fantasy,en,Davis-Panzer Productions,United Kingdom,1986,$16000000,$5900000.0
The Worst Christmas of My Life,Comedy,it,Colorado Film Production,Italy,2012,$6843500,$10703234.0
Soodhu Kavvum,Comedy-Thriller,ta,Studio Green,India,2013,$310000,$12000000.0
Setup,Action-Crime-Drama-Thriller,en,Grindstone Entertainment Group,United States of America,2011,$20000000,$2128186.0
Lolita,Drama-Romance,en,Pathe,France,1997,$62000000,$1060056.0
Brothers,Drama-Thriller-War,en,Lionsgate,United States of America,2009,$26000000,$43318349.0
Auto Focus,Drama-Crime,en,Sony Pictures Classics,United States of America,2002,$7000000,$2062066.0
Bonzaion,Comedy,fr,Qui Filme Qui,Canada,2005,$10000,$30000.0
Waltz with Bashir,Drama-Animation-War,en,Les Films d'Ici,Israel,2008,$2000000,$11125849.0
Nausicaa of the Valley of the Wind,Adventure-Animation-Fantasy,ja,Topcraft,Japan,1984,$1000000,$3301446.0
Friends with Money,Comedy-Drama-Romance,en,Sony Pictures,United States of America,2006,$6500000,$13368437.0
Promised Land,Drama,en,Participant Media,United Arab Emirates,2012,$15000000,$8138788.0
Four Lions,Comedy-Crime-Drama,en,Film4,United Kingdom,2010,$967686,$4270000.0
A Clockwork Orange,Science Fiction-Drama,en,Hawk Films,United Kingdom,1971,$2200000,$26589000.0
Alex Cross,Action-Thriller-Crime-Mystery,en,Summit Entertainment,United States of America,2012,$45000000,$30353232.0
Space Chimps,Animation-Family,en,Starz Media,United States of America,2008,$37000000,$63800345.0
The Wedding Banquet,Comedy-Drama-Romance,zh,Ang Lee Productions,,1993,$1000000,$6933459.0
Shattered Glass,Drama-History,en,Lions Gate Films,Canada,2003,$6000000,$2944752.0
About a Boy,Drama-Comedy-Romance,en,Universal Pictures,United Kingdom,2002,$27000000,$129000000.0
Havana,Drama-Romance,en,Universal Pictures,United States of America,1990,$40000000,$9243140.0
Death on the Nile,Mystery,en,EMI Films Ltd.,United Kingdom,1978,$7920000,$14560084.0
Special 26,Crime-Drama-Thriller,hi,Friday Filmworks,India,2013,$7100000,$18000000.0
Silent Rage,Action-Horror-Science Fiction-Thriller,en,Columbia Pictures Corporation,United States of America,1982,$4500000,$10500000.0
Lethal Weapon,Adventure-Action-Comedy-Thriller-Crime,en,Silver Pictures,United States of America,1987,$15000000,$120207127.0
Hot Fuzz,Crime-Action-Comedy,en,Universal Pictures,United Kingdom,2007,$12000000,$80573774.0
This Means War,Action-Comedy-Romance,en,Overbrook Films,United States of America,2012,$65000000,$156974557.0
Life After Beth,Romance-Comedy-Horror,en,Abbolita Productions,United States of America,2014,$2400000,$88273.0
Children of the Corn II- The Final Sacrifice,Horror,en,Corn Cobb Productions,United States of America,1993,$900000,$6980986.0
Rigodon,Thriller-Crime-Drama-Mystery,en,Viva Films,Philippines,2012,$22361,$31307.0
Enter the Void,Fantasy-Drama,en,BIM Distribuzione,Japan,2009,$13000000,$754249.0
Hot Tub Time Machine 2,Comedy,en,Paramount Pictures,United States of America,2015,$14000000,$12314651.0
Juice,Action-Crime-Drama-Thriller,en,Paramount Pictures,United States of America,1992,$5000000,$20146880.0
