Titulo,Genero,original_language,Productora,Pais de produccion,Lanzamiento,Presupuesto,Ganancias
Home Fries,Drama-Comedy-Romance,en,Warner Bros.,United States of America,1998,$15000000,$10443316.0
El Dorado,Western,en,Paramount Pictures,United States of America,1966,$4653000,$6000000.0
The Boy Next Door,Thriller,en,Universal Pictures,United States of America,2015,$4000000,$50163103.0
Street Fighter- The Legend of Chun-Li,Action-Adventure-Science Fiction-Thriller,en,Twentieth Century Fox Film Corporation,Canada,2009,$50000000,$12764201.0
Battlefield Earth,Science Fiction-War,en,Franchise Pictures,United States of America,2000,$44000000,$21400000.0
Wanted,Action-Thriller-Crime,en,Universal Pictures,Germany,2008,$75000000,$258270008.0
Twelve Monkeys,Science Fiction-Thriller-Mystery,en,Universal Pictures,United States of America,1995,$29500000,$168840000.0
The NeverEnding Story,Drama-Family-Fantasy-Adventure,en,Producers Sales Organization,Germany,1984,$27000000,$20158808.0
Scaramouche,Action-Adventure-Drama,en,Loew's,United States of America,1952,$3005000,$6746000.0
Bob & Carol & Ted & Alice,Comedy-Drama,en,Columbia Pictures Corporation,United States of America,1969,$2000000,$30000000.0
Very Bad Things,Comedy-Crime-Thriller,en,Initial Entertainment Group (IEG),United States of America,1998,$30000000,$9898412.0
Um Suburbano Sortudo,Comedy,pt,Downtown Filmes,Brazil,2016,$6000000,$11600000.0
Paris Texas,Drama,en,Channel Four Films,France,1984,$1746964,$2181987.0
Project Almanac,Science Fiction-Thriller,en,Paramount Pictures,United States of America,2015,$12000000,$32248241.0
You Only Live Twice,Action-Thriller-Adventure,en,Eon Productions,United Kingdom,1967,$9500000,$111584787.0
The Good Girl,Drama-Comedy-Romance,en,Fox Searchlight Pictures,Netherlands,2002,$8000000,$16856124.0
My Stepmother is an Alien,Comedy-Science Fiction,en,Weintraub Entertainment Group,United States of America,1988,$20000000,$13854000.0
The Quiet American,Drama-Action-Thriller-Romance,en,Miramax Films,United States of America,2002,$30000000,$27674124.0
Lone Wolf McQuade,Action-Crime-Drama-Romance-Thriller-Western,en,1818,United States of America,1983,$5000000,$12232628.0
The Imitation Game,History-Drama-Thriller-War,en,Black Bear Pictures,United Kingdom,2014,$14000000,$233555708.0
Tommy,,en,Columbia Pictures,United Kingdom,1975,$5000000,$34251525.0
Sergeant York,Action-Drama-History-War,en,Warner Bros.,United States of America,1941,$1400000,$16361885.0
How High,Comedy,en,Universal Pictures,United States of America,2001,$12000000,$31155435.0
Pattiyal,Drama-Foreign,ta,SG Films,India,2006,$1000000,$5000000.0
